Airport,Airport_Name,Delay_Type,Distribution,KS_Statistic,P_value,AIC,BIC,P90,P95,P99,Sample_Size,Data_P90,Data_P95,Data_P99
LQSA,Sarajevo,positive,Generalized Gamma,0.021319515329218774,0.00036392663224051465,66697.05955151985,66725.67759346792,27.89794973421981,35.85401882993881,54.38299738819578,9457,26.496666666666655,34.86999999999998,56.09600000000003
LQSA,Sarajevo,positive,Weibull,0.023335637894549982,6.618388635556696e-05,66726.1693594919,66747.63289095295,27.95567571598427,35.51827936846768,52.52642308154189,9457,26.496666666666655,34.86999999999998,56.09600000000003
LQSA,Sarajevo,positive,Gamma,0.7881911287062887,0.0,134968.40812273463,134989.87165419568,2.070002129382198,3.5053490396845,7.450454113198738,9457,26.496666666666655,34.86999999999998,56.09600000000003
LQSA,Sarajevo,positive,Log-Normal,0.027403599653581523,1.329418019680706e-06,67035.1978570269,67056.66138848795,27.55305265049273,37.310099768102624,65.26651217080648,9457,26.496666666666655,34.86999999999998,56.09600000000003
LQSA,Sarajevo,negative,Log-Logistic,0.03764274694188874,1.0066463167361264e-06,31963.262839979707,31982.87794225965,19.35861951658026,29.0730637325917,70.7679396370815,5107,17.366666666666667,21.694999999999997,38.27133333333325
LQSA,Sarajevo,negative,Burr XII,0.028603985549554345,0.00046010531752210836,31410.322196335528,31436.47566604212,16.54034105063051,22.08338764601883,40.5357107748978,5107,17.366666666666667,21.694999999999997,38.27133333333325
LQSA,Sarajevo,negative,Generalized Gamma,0.22361723472680617,7.894608258850348e-225,32793.47733925771,32819.6308089643,15.842549447672496,23.107617972942304,43.52201495254657,5107,17.366666666666667,21.694999999999997,38.27133333333325
LQSA,Sarajevo,negative,Weibull,0.02104228452406287,0.02141501989062406,31523.85131932745,31543.46642160739,18.14166360831438,23.231757110095497,34.80285157227728,5107,17.366666666666667,21.694999999999997,38.27133333333325
LQSA,Sarajevo,negative,Gamma,0.7660534657422963,0.0,59801.33773692927,59820.95283920922,1.479607902300339,2.670184643073339,6.0764795455885485,5107,17.366666666666667,21.694999999999997,38.27133333333325
LQSA,Sarajevo,negative,Log-Normal,0.0354384273275451,5.230041595881571e-06,31785.24319370717,31804.858295987113,17.985760567682767,24.62863652375844,44.00399897906262,5107,17.366666666666667,21.694999999999997,38.27133333333325
LBSF,Sofia,positive,Log-Logistic,0.03005148052689577,6.4453498440240704e-27,232115.49526074788,232140.7759122483,26.822308945488057,41.06250994462373,104.52533211284388,33755,23.9,32.21666666666667,55.53066666666661
LBSF,Sofia,positive,Burr XII,0.00842615712320488,0.016477939382892083,229438.2438561368,229471.9513914707,23.662223028542403,31.907004840047957,60.00252613487556,33755,23.9,32.21666666666667,55.53066666666661
LBSF,Sofia,positive,Generalized Gamma,0.01912712473435213,3.701212053903052e-11,230019.79670335256,230053.50423868647,25.292588153504298,33.25579276040576,52.56341964570746,33755,23.9,32.21666666666667,55.53066666666661
LBSF,Sofia,positive,Weibull,0.023309882405222027,2.3006163007998047e-16,230246.59440223893,230271.87505373935,25.418085911899865,32.844521758692764,49.93286531696593,33755,23.9,32.21666666666667,55.53066666666661
LBSF,Sofia,positive,Gamma,0.827172786045082,0.0,493934.68565376505,493959.9663052655,1.0532094667182565,2.1457126348111455,5.521185983678429,33755,23.9,32.21666666666667,55.53066666666661
LBSF,Sofia,positive,Log-Normal,0.02970888615020084,2.569503244638448e-26,231184.2798494795,231209.56050097992,25.074818590803872,34.93570898868557,64.5850076621422,33755,23.9,32.21666666666667,55.53066666666661
LBSF,Sofia,negative,Log-Logistic,0.035728022552033,2.860308744030878e-38,225846.83887153564,225872.15126094426,22.471462058562857,32.600072755455116,73.28331439385734,34114,20.2,25.25,39.27900000000009
LBSF,Sofia,negative,Burr XII,0.01042554917419436,0.0011947991803562897,222092.17775284324,222125.92760538805,19.98364862680538,25.54389124833054,42.47816168366708,34114,20.2,25.25,39.27900000000009
LBSF,Sofia,negative,Generalized Gamma,0.0316207821914537,4.551683480107576e-30,223565.34814685758,223599.09799940238,21.422299880453735,27.942475818899897,44.02988446110973,34114,20.2,25.25,39.27900000000009
LBSF,Sofia,negative,Weibull,0.020027953700310852,2.5625699570720328e-12,223297.31185431912,223322.62424372774,21.570914280223977,27.29780391009666,40.10899319985299,34114,20.2,25.25,39.27900000000009
LBSF,Sofia,negative,Gamma,0.8644180521574977,0.0,499467.5138504774,499492.826239886,0.585888048068804,1.444173549127431,4.451067352718681,34114,20.2,25.25,39.27900000000009
LBSF,Sofia,negative,Log-Normal,0.03552277472852572,7.763199662558332e-38,224623.8911774745,224649.2035668831,21.145092889855334,28.26066876545761,48.17239488214243,34114,20.2,25.25,39.27900000000009
LBBG,Burgas,positive,Log-Logistic,0.03186783378825837,1.051103550459628e-09,73232.24371303976,73254.02310398183,28.86419641392242,45.27652094632555,121.8088444607831,10507,25.516666666666666,33.56166666666665,60.59700000000045
LBBG,Burgas,positive,Burr XII,0.01178635517027632,0.10708644812529156,72388.67692803909,72417.71611596184,24.81305659696279,33.84689474514646,65.2684086602365,10507,25.516666666666666,33.56166666666665,60.59700000000045
LBBG,Burgas,positive,Generalized Gamma,0.02156806341803419,0.00011196115616506202,72674.43765894661,72703.47684686937,27.113204866496126,36.47309586931075,60.24072754918222,10507,25.516666666666666,33.56166666666665,60.59700000000045
LBBG,Burgas,positive,Weibull,0.485314459157304,0.0,85930.16958938765,85951.94898032972,15.323929941685172,29.03938892253233,82.56777790693023,10507,25.516666666666666,33.56166666666665,60.59700000000045
LBBG,Burgas,positive,Gamma,0.9602495383043306,0.0,207181.35018348516,207203.12957442724,0.016834166749785707,0.0368852238737327,1.045749462878897,10507,25.516666666666666,33.56166666666665,60.59700000000045
