time,airport,out_degree
2021-09-01,LATI,8
2021-09-01,LBBG,5
2021-09-01,LBSF,2
2021-09-01,LDDU,4
2021-09-01,LDSP,4
2021-09-01,LDZA,4
2021-09-01,LEBL,12
2021-09-01,LEMD,4
2021-09-01,LFPG,4
2021-09-01,LIRF,7
2021-09-01,LQSA,2
2021-09-01,LWSK,8
2021-09-01,LYTV,2
2021-12-01,BKPR,2
2021-12-01,EDDF,15
2021-12-01,EDDM,9
2021-12-01,EGKK,11
2021-12-01,EGLL,6
2021-12-01,EHAM,11
2021-12-01,EIDW,10
2021-12-01,LATI,0
2021-12-01,LBBG,0
2021-12-01,LBSF,2
2021-12-01,LDDU,3
2021-12-01,LDSP,1
2021-12-01,LDZA,4
2021-12-01,LEBL,6
2021-12-01,LEMD,7
2021-12-01,LFPG,4
2021-12-01,LIRF,8
2021-12-01,LQSA,7
2021-12-01,LWSK,3
2021-12-01,LYTV,2
2022-03-01,BKPR,4
2022-03-01,EDDF,5
2022-03-01,EDDM,10
2022-03-01,EGKK,9
2022-03-01,EGLL,7
2022-03-01,EHAM,13
2022-03-01,EIDW,12
2022-03-01,LATI,0
2022-03-01,LBBG,0
2022-03-01,LBSF,1
2022-03-01,LDDU,3
2022-03-01,LDSP,2
2022-03-01,LDZA,5
2022-03-01,LEBL,4
2022-03-01,LEMD,3
2022-03-01,LFPG,15
2022-03-01,LIRF,11
2022-03-01,LQSA,1
2022-03-01,LWSK,2
2022-03-01,LYTV,3
2022-06-01,BKPR,10
2022-06-01,EDDF,7
2022-06-01,EDDM,11
2022-06-01,EGKK,12
2022-06-01,EGLL,16
2022-06-01,EHAM,12
2022-06-01,EIDW,15
2022-06-01,LATI,8
2022-06-01,LBBG,5
2022-06-01,LBSF,4
2022-06-01,LDDU,9
2022-06-01,LDSP,14
2022-06-01,LDZA,7
2022-06-01,LEBL,8
2022-06-01,LEMD,11
2022-06-01,LFPG,15
2022-06-01,LIRF,14
2022-06-01,LQSA,10
2022-06-01,LWSK,10
2022-06-01,LYTV,2
2022-09-01,BKPR,8
2022-09-01,EDDF,15
2022-09-01,EDDM,14
2022-09-01,EGKK,6
2022-09-01,EGLL,10
2022-09-01,EHAM,7
2022-09-01,EIDW,16
2022-09-01,LATI,7
2022-09-01,LBBG,1
2022-09-01,LBSF,3
2022-09-01,LDDU,10
2022-09-01,LDSP,11
2022-09-01,LDZA,8
2022-09-01,LEBL,12
2022-09-01,LEMD,11
2022-09-01,LFPG,17
2022-09-01,LIRF,13
2022-09-01,LQSA,10
2022-09-01,LWSK,4
2022-09-01,LYTV,4
2022-12-01,BKPR,4
2022-12-01,EDDF,5
2022-12-01,EDDM,12
2022-12-01,EGKK,5
2022-12-01,EGLL,10
2022-12-01,EHAM,11
2022-12-01,EIDW,10
2022-12-01,LATI,2
2022-12-01,LBBG,1
2022-12-01,LBSF,2
2022-12-01,LDDU,2
2022-12-01,LDSP,4
2022-12-01,LDZA,8
2022-12-01,LEBL,3
2022-12-01,LEMD,14
2022-12-01,LFPG,4
2022-12-01,LIRF,6
2022-12-01,LQSA,4
2022-12-01,LWSK,0
2022-12-01,LYTV,2
2023-03-01,BKPR,3
2023-03-01,EDDF,3
2023-03-01,EDDM,11
2023-03-01,EGKK,8
2023-03-01,EGLL,13
2023-03-01,EHAM,8
2023-03-01,EIDW,12
2023-03-01,LATI,4
2023-03-01,LBBG,0
2023-03-01,LBSF,5
2023-03-01,LDDU,3
2023-03-01,LDSP,3
2023-03-01,LDZA,3
2023-03-01,LEBL,12
2023-03-01,LEMD,1
2023-03-01,LFPG,13
2023-03-01,LIRF,5
